Sitios,Clorofila a (mg/m3),Nitritos_mg/L,Nitratos_mg/L,Amonio_mg/L,Fosfatos_mg/L,Oxigeno_porcentaje,Temp,Prof
Cancun_1,6.4,0.119,0.6106,0.002,0.005,73,27,10
Cancun_2,25.9281,0.0243,0.2,0.0541,0.1153,79.3,27,12
Cancun_3,6.4,0.015,0.5408,0.0164,0.0336,74.2,29,8
Playa_1,1.6038,0.0438,0.5175,0.0396,0.005,77,29,14
Playa_2,0.2673,0.0271,0.5082,0.0031,0.005,72,31,9
Playa_3,40.8969,0.0568,0.5827,0.0222,0.4993,75,31,11
Akumal_1,0.891,0.0252,0.5082,0.2,0.005,93.2,30,1.5
Akumal_2,0.2,0.0308,0.5268,0.2,0.005,90,30,2
Akumal_3,0.2,0.0075,0.35,0.0466,0.1562,91.2,30,29
Akumal_4,0.2,0.0075,0.2,0.0583,0.1825,90.2,29,2.5
Akumal_5,0.2,0.0075,0.2,0.2703,0.0219,90.8,29,18
Akumal_6,0.2,0.0075,0.2291,0.2,0.0336,93.3,30,14
Tulum_1,1.6038,0.0075,0.5082,0.0168,0.005,79.3,27,12.13
Tulum_2,0.4,0.0271,0.5268,0.2,0.005,89.5,30,6.44
Tulum_3,0.4,0.0075,0.35,0.2,0.005,82.8,30,5.53
Tulum_4,0.4,0.0057,0.2,0.2,0.005,68.8,30,2.18
Tulum_5,0.4,0.0075,0.2,0.2,0.005,59.2,31,3.8
Tulum_6,0.4,0.0438,0.2291,0.2,0.0088,64.1,31,3.76
Tulum_7,0.4,0.3002,0.8199,0.0545,0.0905,74.5,31,2.5
